სათაური,ავტორი,ფასი
რუკა და ტერიტორია,მიშელ უელბეკი,"12,90 ₾"
ულისე,ჯეიმზ ჯოისი,"26,90 ₾"
ჯაშუში,პაულო კოელიო,"8,90 ₾"
რიტუალები,ხულიო კორტასარი,"10,90 ₾"
ჩაპაევი და სიცარიელე,ვიქტორ პელევინი,"16,90 ₾"
გახლეჩილი აპრილი,ისმაილ კადარე,"14,90 ₾"
მოსკოვიადა,იური ანდრუხოვიჩი,"14,90 ₾"
რიო-პიედრას ნაპირზე ჩამოვჯექი და ავტირდი,პაულო კოელიო,"7,90 ₾"
პორტობელოელი ჯადოქარი,პაულო კოელიო,"11,90 ₾"
ჩხერკეთელაობა,ირვინ უელში,"18,90 ₾"
შიმშილის თამაშები 3 (კაჭკაჭჯაფარა),სიუზენ კოლინზი,"13,90 ₾"
ეშმაკი და სენიორიტა პრიმი,პაულო კოელიო,"8,90 ₾"
ვერონიკამ სიკვდილი გადაწყვიტა,პაულო კოელიო,"9,90 ₾"
ჰიჩჰაიკერის გზამკვლევი გალაქტიკაში,დაგლას ადამსი,"11,90 ₾"
კევინზე უნდა დაგელაპარაკო…,ლაიონელ შრაივერი,"19,90 ₾"
"ორი წელი, რვა თვე და ოცდარვა ღამე",სალმან რუშდი,"15,90 ₾"
ქართველი ქალი – ანუ შურისძიება,აჰმეთ მითჰათ ეფენდი,"9,90 ₾"
გალვეიაში,ჟოზე ლუიშ პეიშოტუ,"12,90 ₾"
ევროპული აღზრდა,რომენ გარი,"13,90 ₾"
ჩემო მიხაელ,ამოს ოზი,"14,90 ₾"
უფერული ცუკურუ ტაძაკი და მისი პილიგრიმობის წლები,ჰარუკი მურაკამი,"13,90 ₾"
ბუზთა ბატონი,უილიამ გოლდინგი,"11,90 ₾"
ამერიკელი ღმერთები,ნილ გეიმანი,"15,90 ₾"
ვერნონ გენიოს ლითლი,დიბისი პიერი,"13,90 ₾"
გოგონა ობობას ქსელში,დევიდ ლაგერკრანცი,"14,90 ₾"
"მიდი, დააყენე დარაჯი",ჰარპერ ლი,"14,90 ₾"
წვრილმანების ღმერთი,არუნდატი როი,"13,90 ₾"
ტრამალის მგელი,ჰერმან ჰესე,"10,90 ₾"
პლატფორმა,მიშელ უელბეკი,"11,90 ₾"
მისტერიები,კნუტ ჰამსუნი,"13,90 ₾"
მაიკლ კეის ცხოვრება და დროება,ჯ.მ. კუტზეე,"10,90 ₾"
დოპლერი | ნაივური. სუპერი.,ერლენდ ლუ,"10,90 ₾"
ბანი მანროს აღსასრული,ნიკ ქეივი,"10,90 ₾"
ლოლიტა,ვლადიმირ ნაბოკოვი,"14,90 ₾"
1Q84 (III),ჰარუკი მურაკამი,"17,90 ₾"
1Q84 (I),ჰარუკი მურაკამი,"17,90 ₾"
დიუმას კლუბი,არტურო პერეს-რევერტე,"13,90 ₾"
ძილისპირული,ჩაკ პალანიკი,"12,90 ₾"
გახლეჩილი ქვეყანა,სხვადასხვა ავტორი,"14,90 ₾"
ინფერნო,დენ ბრაუნი,"20,90 ₾"
თავისუფლების ორმოცდაათი ელფერი,ე.ლ. ჯეიმზი,"24,90 ₾"
მორჩილება,მიშელ უელბეკი,"12,90 ₾"
ნორვეგიული ტყე,ჰარუკი მურაკამი,"17,90 ₾"
ადიულტერი,პაულო კოელიო,"15,90 ₾"
ილიადა,ჰომეროსი,"15,90 ₾"
კუნძულის შესაძლებლობა,მიშელ უელბეკი,"16,90 ₾"
ორმოცდაათი ელფერით მუქი,ე.ლ. ჯეიმზი,"19,90 ₾"
